source,gpu_power_kw,flex_hours,completed_tasks,comparable_tasks,unpriced_baseline_tasks,baseline_gco2,scheduled_gco2,avoided_gco2,savings_pct
Alibaba GPU v2020 + EIA ISO-NE,0.3,0,732691,732691,0,119709248.41907312,119709248.41907312,0.0,0.0
Alibaba GPU v2020 + EIA ISO-NE,0.3,2,732691,732691,0,119709248.41907312,117877054.19091186,1832194.2281612605,1.5305369070125574
Alibaba GPU v2020 + EIA ISO-NE,0.3,6,732691,732691,0,119709248.41907312,115016793.4848629,4692454.934210226,3.9198766980668664
Alibaba GPU v2020 + EIA ISO-NE,0.3,12,732691,732691,0,119709248.41907312,111876565.95188323,7832682.467189893,6.543088834514746
Alibaba GPU v2020 + EIA ISO-NE,0.3,24,732691,732691,0,119709248.41907312,108769378.35013671,10939870.068936408,9.138700821709756
Alibaba GPU v2020 + EIA ISO-NE,0.4,0,732691,732691,0,159612331.2254308,159612331.2254308,0.0,0.0
Alibaba GPU v2020 + EIA ISO-NE,0.4,2,732691,732691,0,159612331.2254308,157169405.58788237,2442925.637548417,1.5305369070126014
Alibaba GPU v2020 + EIA ISO-NE,0.4,6,732691,732691,0,159612331.2254308,153355724.6464839,6256606.578946888,3.9198766980668176
Alibaba GPU v2020 + EIA ISO-NE,0.4,12,732691,732691,0,159612331.2254308,149168754.6025108,10443576.622919977,6.543088834514822
Alibaba GPU v2020 + EIA ISO-NE,0.4,24,732691,732691,0,159612331.2254308,145025837.80018213,14586493.425248653,9.138700821709826
Alibaba GPU v2020 + EIA ISO-NE,0.5,0,732691,732691,0,199515414.0317885,199515414.0317885,0.0,0.0
Alibaba GPU v2020 + EIA ISO-NE,0.5,2,732691,732691,0,199515414.0317885,196461756.98485297,3053657.0469355285,1.530536907012605
Alibaba GPU v2020 + EIA ISO-NE,0.5,6,732691,732691,0,199515414.0317885,191694655.8081049,7820758.223683596,3.91987669806681
Alibaba GPU v2020 + EIA ISO-NE,0.5,12,732691,732691,0,199515414.0317885,186460943.25313866,13054470.778649837,6.543088834514754
Alibaba GPU v2020 + EIA ISO-NE,0.5,24,732691,732691,0,199515414.0317885,181282297.2502277,18233116.78156081,9.13870082170982
