month,name,n_jobs,base_average,avoided_average,sav_average,base_marginal,avoided_marginal,sav_marginal,delta_pp,oil_hours
1,Jan,741,239747.3320585347,7513.31059742457,3.1338453416408334,506876.62,7611.040000000561,1.5015567299199086,1.6322886117209248,142
2,Feb,644,90406.5507824577,6968.906947925119,7.708409277436288,203532.75,11510.720000000147,5.6554633099587885,2.0529459674774992,153
3,Mar,736,108246.6347476747,7100.318454772583,6.559389556380744,233152.53,9490.400000000081,4.07046837535929,2.4889211810214533,105
4,Apr,636,47170.157859916086,5752.6300226862295,12.195486052368414,98571.41,2607.679999999862,2.645472962190418,9.550013090177996,59
5,May,665,29554.244668311174,4266.948236981647,14.437683266379597,66278.33,1692.4800000000032,2.5535948174916343,11.884088448887963,84
6,Jun,702,70254.64378843273,8402.729321460654,11.960389902146431,136885.27,4965.27999999997,3.627329660817391,8.33306024132904,96
7,Jul,744,175211.8633178358,9538.381546216115,5.443913080767487,303135.38,18656.480000000156,6.154504301015657,-0.7105912202481699,330
8,Aug,744,192484.85419844676,11176.333716121386,5.8063444849530255,345743.51,21738.239999999932,6.287389168924656,-0.48104468397163025,293
9,Sep,720,100716.62351976256,11015.875524356437,10.937494863690409,198449.49,9119.51999999999,4.595385959419694,6.342108904270715,155
10,Oct,689,43585.96441976591,5233.98532377903,12.00841920892648,87388.05,6080.319999999905,6.95783920112636,5.05058000780012,190
11,Nov,640,49130.29030026613,4570.401181916248,9.30261383351014,99059.24,5141.120000000112,5.189944925884866,4.112668907625274,154
12,Dec,702,93610.3097863273,8754.669427383487,9.35224917785946,178369.9,10378.719999999972,5.81864989552608,3.5335992823333795,184
