month,name,n_jobs,mean_spread,mean_position,mean_ci_base,saving_pct,flat_windows
1,Jan,741,63.37534541308445,0.6042634239644159,244.95257426159353,15.551709152968952,0
2,Feb,644,52.25947968766276,0.6170854800723856,234.27516210836956,14.083925258056707,0
3,Mar,736,44.63500659725968,0.6411194608477372,242.72015289641914,12.181991279885967,0
4,Apr,636,55.02237865869784,0.6577231777512272,242.04098755633368,15.494888134537945,0
5,May,665,66.15866678083786,0.5330059085568718,224.91643646784402,14.995756532704135,0
6,Jun,702,68.99294145219955,0.5371375777606017,261.4116553554507,13.682258468935673,0
7,Jul,744,53.62355334220883,0.5066241060320638,322.4683043913746,8.437296390456584,0
8,Aug,744,57.0963023654956,0.5428179481225666,309.207153284756,9.865171282247701,0
9,Sep,720,71.60418343653176,0.5470458454126431,265.52098513845294,14.141712178406639,0
10,Oct,689,64.76402896744766,0.5508406700898957,264.11094062113875,13.003816066887893,0
11,Nov,640,51.9992613179903,0.5801606301659525,260.4833748662128,11.587410472746889,0
12,Dec,702,62.25287258589143,0.6604550117721278,282.11001617230716,14.468934142563437,0
