month,name,n_jobs,unshifted_milp,unshifted_greedy,share_unshifted_milp,mean_power_kw,median_power_kw,share_power_gt_M,mean_ci_metered_hour
1,Jan,741,359,342,0.4844804318488529,1.3208502024291497,0.8360000000000001,0.32118758434547906,249.22148139202295
2,Feb,644,164,144,0.2546583850931677,0.599222049689441,0.4485,0.08385093167701864,229.86098502275144
3,Mar,736,207,181,0.28125,0.6059415760869564,0.46799999999999997,0.07744565217391304,234.15671501509615
4,Apr,636,72,70,0.11320754716981132,0.30642295597484276,0.2,0.020440251572327043,244.96646696578478
5,May,665,62,52,0.09323308270676692,0.19759548872180452,0.17,0.0,229.65179544662473
6,Jun,702,107,88,0.15242165242165243,0.38283618233618233,0.3585,0.0,258.1383249425954
7,Jul,744,253,239,0.3400537634408602,0.7303037634408602,0.764,0.0,322.76978154840236
8,Aug,744,289,263,0.38844086021505375,0.8367083333333333,0.883,0.0,307.87487163796936
9,Sep,720,156,135,0.21666666666666667,0.5268291666666667,0.5005,0.0,265.9860127598636
10,Oct,689,65,54,0.09433962264150944,0.23951959361393324,0.176,0.0,261.26067927789023
11,Nov,640,70,61,0.109375,0.29470625000000006,0.187,0.025,252.98859315946757
12,Dec,702,140,102,0.19943019943019943,0.4726809116809117,0.385,0.03276353276353276,276.5314750175793
