name,n,cap_capacity,cap_noimprove,uncapped_noimprove,own_power_gt_M,mean_power_kw,pct_stuck_by_budget,pct_stuck_no_cleaner_hour
Jan,741,238,68,0,237,1.321,32.1,9.2
Feb,644,54,55,0,54,0.599,8.4,8.5
Mar,736,57,68,0,57,0.606,7.7,9.2
Apr,636,13,20,0,13,0.306,2.0,3.1
May,665,0,20,0,0,0.198,0.0,3.0
Jun,702,0,56,0,0,0.383,0.0,8.0
Jul,744,0,171,0,0,0.73,0.0,23.0
Aug,744,0,188,0,0,0.837,0.0,25.3
Sep,720,0,102,0,0,0.527,0.0,14.2
Oct,689,0,30,0,0,0.24,0.0,4.4
Nov,640,16,17,0,16,0.295,2.5,2.7
Dec,702,23,44,0,23,0.473,3.3,6.3
