month,name,capped_greedy_ew,capped_greedy_uw,capped_milp_ew,capped_milp_uw,uncapped_greedy_ew,uncapped_greedy_uw,n_jobs,mean_power_kw,median_power_kw,share_power_gt_M,mean_ci_metered_hour
1,Jan,3.133845341640834,5.783271282027564,3.650008985943031,6.525855610496779,15.551709152968945,12.526793586269868,741,1.3208502024291497,0.8360000000000001,0.32118758434547906,249.22148139202295
2,Feb,7.708409277436208,8.661898150143967,8.414041298362639,9.141799372572502,14.083925258056698,11.494160158322595,644,0.599222049689441,0.4485,0.08385093167701864,229.86098502275144
3,Mar,6.55938955638085,7.844734293229437,7.498988751968191,8.436282685028182,12.181991279885985,10.754503503539189,736,0.6059415760869564,0.46799999999999997,0.07744565217391304,234.15671501509615
4,Apr,12.19548605236843,11.485591791107161,13.207645649242004,11.854845078662976,15.494888134537947,12.79113776094335,636,0.30642295597484276,0.2,0.020440251572327043,244.96646696578478
5,May,14.437683266379585,14.048963986272446,14.58952015075692,14.165738382736302,14.995756532704133,14.531491220879275,665,0.19759548872180452,0.17,0.0,229.65179544662473
6,Jun,11.960389902146371,12.88190272104195,12.702063486975579,13.479822307663909,13.68225846893566,14.39442415277737,702,0.38283618233618233,0.3585,0.0,258.1383249425954
7,Jul,5.443913080767587,5.688730391177723,6.926095009124709,6.9691409235258135,8.437296390456577,8.45884613216548,744,0.7303037634408602,0.764,0.0,322.76978154840236
8,Aug,5.806344484953012,6.052810142882243,7.412039466710216,7.420886503483218,9.865171282247685,9.850165241789375,744,0.8367083333333333,0.883,0.0,307.87487163796936
9,Sep,10.937494863690326,11.820056025225224,12.277256967948814,12.838455684374837,14.141712178406625,14.393586390128712,720,0.5268291666666667,0.5005,0.0,265.9860127598636
10,Oct,12.00841920892643,13.128377741047977,12.324986355913092,13.320661102413737,13.003816066887888,13.73582504416792,689,0.23951959361393324,0.176,0.0,261.26067927789023
11,Nov,9.302613833510096,10.990714299799741,9.643995099103781,11.101084663032953,11.587410472746901,11.687108940830248,640,0.29470625000000006,0.187,0.025,252.98859315946757
12,Dec,9.352249177859365,9.6649320065477,10.796931172917747,10.38712176029957,14.468934142563446,12.11894515317474,702,0.4726809116809117,0.385,0.03276353276353276,276.5314750175793
